cliente,tempo_chegada,inicio_atendimento,fim_atendimento,tempo_espera
274,850.1799999999987,850.1799999999987,860.6399999999987,0
275,850.3999999999987,850.3999999999987,854.8299999999987,0
276,852.1099999999988,854.8299999999987,857.9399999999987,2.7199999999999136
277,853.2499999999987,857.9399999999987,860.4599999999987,4.689999999999941
278,856.3599999999988,860.4599999999987,864.8799999999986,4.099999999999909
279,860.1399999999987,860.6399999999987,868.6799999999987,0.5
280,864.1299999999987,864.8799999999986,867.9399999999986,0.7499999999998863
281,867.4299999999987,867.9399999999986,870.4299999999986,0.5099999999998772
282,868.8099999999987,868.8099999999987,871.1499999999987,0
283,871.4199999999987,871.4199999999987,875.7099999999987,0
284,881.3599999999988,881.3599999999988,882.8899999999987,0
285,888.0299999999987,888.0299999999987,896.6299999999987,0
286,888.2999999999987,888.2999999999987,888.9999999999987,0
287,889.2299999999987,889.2299999999987,893.3099999999987,0
288,892.1199999999986,893.3099999999987,898.9999999999987,1.1900000000000546
289,893.8399999999987,896.6299999999987,906.5999999999988,2.7900000000000773
290,895.5699999999987,898.9999999999987,902.0199999999987,3.4300000000000637
291,898.8999999999987,902.0199999999987,902.1999999999987,3.1200000000000045
292,903.8199999999987,903.8199999999987,905.2299999999987,0
293,907.0599999999987,907.0599999999987,908.0899999999987,0
294,907.3599999999986,907.3599999999986,919.0799999999987,0
295,907.3999999999986,908.0899999999987,919.7899999999987,0.6900000000000546
296,910.4599999999986,919.0799999999987,919.1999999999987,8.620000000000118
297,912.3199999999986,919.1999999999987,920.4699999999987,6.880000000000109
298,912.4899999999985,919.7899999999987,926.2299999999988,7.300000000000182
299,920.6499999999985,920.6499999999985,926.5099999999985,0
300,922.5299999999985,926.2299999999988,926.2999999999988,3.700000000000273
301,925.7299999999985,926.2999999999988,930.7699999999988,0.5700000000002774
302,928.4999999999985,928.4999999999985,931.8199999999986,0
303,928.5999999999985,930.7699999999988,935.5799999999988,2.1700000000003
